epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1895.53,0.44743,0.33118,0.85075,0.9003,0.91857,0.92434,0.83414,0.5522,0.40762,0.79913,0.000540037,0.000540037,0.000540037
43,1939.97,0.44715,0.32725,0.84593,0.91544,0.94315,0.94274,0.85348,0.60695,0.41483,0.80821,0.000531038,0.000531038,0.000531038
44,1984.97,0.43651,0.32288,0.84725,0.94259,0.94416,0.95174,0.86842,0.56742,0.35427,0.79888,0.000522039,0.000522039,0.000522039
45,2029.48,0.44059,0.33072,0.85227,0.9366,0.91043,0.94149,0.85743,0.65445,0.40874,0.82942,0.00051304,0.00051304,0.00051304
46,2073.8,0.43054,0.31725,0.84483,0.89399,0.96011,0.9458,0.85778,0.64938,0.38037,0.8239,0.00050404,0.00050404,0.00050404
47,2117.97,0.4304,0.31221,0.84379,0.92193,0.94435,0.94368,0.84796,0.65639,0.42276,0.82401,0.000495041,0.000495041,0.000495041
48,2163.32,0.43543,0.32742,0.84726,0.9491,0.93877,0.96797,0.88006,0.64485,0.36826,0.8336,0.000486042,0.000486042,0.000486042
49,2207.35,0.42726,0.31407,0.84464,0.93319,0.92626,0.95286,0.86821,0.62874,0.39112,0.8246,0.000477043,0.000477043,0.000477043
50,2251.36,0.42265,0.31032,0.84709,0.92179,0.93136,0.94168,0.85421,0.59601,0.39397,0.81646,0.000468044,0.000468044,0.000468044
51,2296.67,0.4204,0.30698,0.84479,0.93083,0.91878,0.94642,0.8592,0.66194,0.39979,0.82935,0.000459045,0.000459045,0.000459045
52,2340.59,0.41964,0.3056,0.84236,0.91353,0.93303,0.95584,0.87267,0.55386,0.38048,0.79326,0.000450046,0.000450046,0.000450046
53,2385.36,0.41003,0.29963,0.83693,0.92964,0.95178,0.95863,0.87582,0.60146,0.35579,0.81024,0.000441047,0.000441047,0.000441047
54,2430.42,0.40881,0.29508,0.84371,0.89105,0.94909,0.93373,0.85053,0.58303,0.37678,0.80841,0.000432048,0.000432048,0.000432048
55,2475.27,0.41878,0.29953,0.84385,0.9337,0.94884,0.95457,0.87328,0.60064,0.35185,0.81545,0.000423049,0.000423049,0.000423049
56,2519.66,0.40654,0.29304,0.83876,0.93498,0.96224,0.96478,0.88696,0.57173,0.3253,0.79467,0.000414049,0.000414049,0.000414049
57,2564.62,0.4192,0.30015,0.84596,0.92223,0.93001,0.93052,0.84591,0.60148,0.39484,0.80262,0.00040505,0.00040505,0.00040505
58,2608.74,0.40008,0.29167,0.83883,0.95631,0.95306,0.95879,0.87844,0.58717,0.35302,0.80806,0.000396051,0.000396051,0.000396051
59,2653.14,0.40051,0.28467,0.8407,0.89834,0.9639,0.94284,0.85322,0.60844,0.38305,0.8115,0.000387052,0.000387052,0.000387052
60,2698.68,0.40403,0.29643,0.84225,0.92789,0.95212,0.93148,0.84364,0.5862,0.39884,0.80877,0.000378053,0.000378053,0.000378053
61,2742.75,0.39724,0.29062,0.84088,0.89186,0.93921,0.93917,0.86428,0.57589,0.35004,0.80107,0.000369054,0.000369054,0.000369054
62,2787.53,0.40399,0.28287,0.83636,0.93456,0.94699,0.94923,0.86784,0.54146,0.34065,0.7936,0.000360055,0.000360055,0.000360055
63,2832.28,0.38453,0.27466,0.8337,0.93758,0.95547,0.96717,0.88721,0.58674,0.32675,0.80736,0.000351056,0.000351056,0.000351056
64,2877.01,0.3957,0.2741,0.83904,0.92389,0.93864,0.95009,0.86787,0.58558,0.38615,0.80803,0.000342057,0.000342057,0.000342057
65,2920.85,0.39435,0.27716,0.84019,0.94155,0.92941,0.95032,0.86075,0.59408,0.36842,0.81054,0.000333058,0.000333058,0.000333058
66,2966.65,0.38237,0.27859,0.83716,0.90443,0.97687,0.95243,0.86913,0.57509,0.35127,0.8025,0.000324058,0.000324058,0.000324058
67,3011.21,0.38996,0.27674,0.83564,0.93844,0.94432,0.95618,0.87099,0.60288,0.35917,0.81359,0.000315059,0.000315059,0.000315059
68,3056.43,0.3876,0.27664,0.83866,0.91725,0.93654,0.93876,0.86331,0.62262,0.40571,0.81999,0.00030606,0.00030606,0.00030606
69,3102.01,0.38085,0.26194,0.82926,0.93046,0.95141,0.95593,0.87762,0.59262,0.3928,0.80966,0.000297061,0.000297061,0.000297061
70,3147.27,0.38425,0.26822,0.83382,0.94123,0.96654,0.96088,0.87063,0.58853,0.33522,0.81285,0.000288062,0.000288062,0.000288062
71,3192.54,0.37986,0.26477,0.83093,0.92684,0.95031,0.95361,0.87356,0.62046,0.36515,0.82048,0.000279063,0.000279063,0.000279063
72,3237.96,0.37482,0.2624,0.83213,0.92767,0.95102,0.94923,0.87113,0.58646,0.40701,0.81189,0.000270064,0.000270064,0.000270064
73,3281.78,0.37018,0.25908,0.83299,0.92909,0.94928,0.94714,0.86414,0.61059,0.35706,0.81285,0.000261065,0.000261065,0.000261065
74,3327.08,0.37236,0.26212,0.83458,0.93161,0.9359,0.95382,0.87217,0.56081,0.3632,0.80223,0.000252066,0.000252066,0.000252066
75,3370.93,0.37062,0.258,0.83065,0.92668,0.95898,0.95206,0.86837,0.60058,0.35469,0.81213,0.000243067,0.000243067,0.000243067
76,3414.81,0.36553,0.25499,0.82719,0.92158,0.96983,0.95244,0.86861,0.59363,0.36276,0.80722,0.000234068,0.000234068,0.000234068
77,3459.07,0.36962,0.25706,0.83189,0.92906,0.94008,0.95587,0.88149,0.59008,0.35722,0.81029,0.000225068,0.000225068,0.000225068
78,3504.37,0.37272,0.25925,0.83624,0.9159,0.9404,0.94908,0.86303,0.54903,0.37012,0.80011,0.000216069,0.000216069,0.000216069
79,3548.11,0.36882,0.2511,0.82932,0.91394,0.9331,0.94333,0.85944,0.61666,0.35607,0.81238,0.00020707,0.00020707,0.00020707
80,3592.92,0.35384,0.24283,0.82726,0.89636,0.9205,0.94187,0.86644,0.59658,0.35784,0.80697,0.000198071,0.000198071,0.000198071
81,3639.43,0.35667,0.24163,0.83007,0.87629,0.96826,0.95193,0.87017,0.58886,0.34792,0.80185,0.000189072,0.000189072,0.000189072
82,3685.15,0.35484,0.24043,0.82781,0.893,0.97541,0.9521,0.86936,0.58343,0.33272,0.80307,0.000180073,0.000180073,0.000180073
83,3730.23,0.35486,0.24024,0.82611,0.90623,0.94092,0.94704,0.86351,0.57926,0.34939,0.80619,0.000171074,0.000171074,0.000171074
84,3775.43,0.35035,0.23516,0.82562,0.91317,0.96053,0.95728,0.87771,0.60027,0.33368,0.80993,0.000162075,0.000162075,0.000162075
85,3819.59,0.35327,0.23513,0.82893,0.90318,0.95708,0.9529,0.87392,0.5798,0.34911,0.80445,0.000153076,0.000153076,0.000153076
86,3866,0.35739,0.24151,0.83005,0.9276,0.967,0.96649,0.87993,0.57079,0.34481,0.79907,0.000144077,0.000144077,0.000144077
87,3910.26,0.3419,0.23301,0.81996,0.93341,0.93394,0.95939,0.87414,0.56249,0.31652,0.79831,0.000135077,0.000135077,0.000135077
88,3954.85,0.3433,0.23792,0.82728,0.94136,0.9464,0.97101,0.88274,0.58322,0.31678,0.80533,0.000126078,0.000126078,0.000126078
89,3999.57,0.33777,0.23105,0.82649,0.89479,0.95783,0.95246,0.87076,0.59367,0.32107,0.80658,0.000117079,0.000117079,0.000117079
90,4044.33,0.34033,0.22934,0.82352,0.93574,0.94723,0.95767,0.86997,0.57671,0.32282,0.80101,0.00010808,0.00010808,0.00010808
91,4088.61,0.30305,0.19186,0.79126,0.93527,0.94606,0.96688,0.88509,0.59611,0.3201,0.80872,9.9081e-05,9.9081e-05,9.9081e-05
92,4130.69,0.30137,0.19199,0.78998,0.92295,0.93193,0.95739,0.87391,0.58176,0.34553,0.80614,9.00819e-05,9.00819e-05,9.00819e-05
93,4172.63,0.2953,0.18929,0.78766,0.9281,0.93221,0.95277,0.86927,0.58782,0.35564,0.80562,8.10828e-05,8.10828e-05,8.10828e-05
94,4214.86,0.29452,0.1862,0.79374,0.92145,0.93113,0.95789,0.87669,0.58458,0.32168,0.80504,7.20837e-05,7.20837e-05,7.20837e-05
95,4257.15,0.29035,0.18662,0.78971,0.91838,0.93802,0.95894,0.88124,0.59454,0.31367,0.80695,6.30846e-05,6.30846e-05,6.30846e-05
96,4299.07,0.2907,0.18322,0.79241,0.92709,0.92374,0.95097,0.87212,0.59245,0.32579,0.80518,5.40855e-05,5.40855e-05,5.40855e-05
97,4340.79,0.28543,0.1809,0.79221,0.92554,0.93207,0.95813,0.87707,0.58392,0.33578,0.80538,4.50864e-05,4.50864e-05,4.50864e-05
98,4382.34,0.28484,0.18078,0.78873,0.92527,0.93245,0.9602,0.88265,0.58275,0.32829,0.80585,3.60873e-05,3.60873e-05,3.60873e-05
99,4424.82,0.28422,0.17914,0.78769,0.92769,0.94173,0.95764,0.87914,0.58934,0.32623,0.80727,2.70882e-05,2.70882e-05,2.70882e-05
100,4468.52,0.28077,0.17895,0.78989,0.93296,0.94119,0.95103,0.87014,0.59585,0.33231,0.80933,1.80891e-05,1.80891e-05,1.80891e-05
